feature,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
esmfold_start_A_C_pdockq2_max,1,0.8456640812027194,0.6419490964307469,0.6176975945017181,0.6372245224663717,0.6266590822904816,0.49553588437750035
boltz_hs_iplddt,1,0.8448039186456174,0.6695772836497782,0.7306564403338598,0.6505078537772213,0.623393412242946,0.5789064052460754
esmfold_start_glycine_linker_A_B_ipSAE_d0chn,1,0.844719429282773,0.6144182638404563,0.5871993127147767,0.6149891559918662,0.60198113099137,0.5248098147042762
esmfold_start_glycine_linker_A_B_ipSAE,1,0.8441738485109643,0.6144153210974078,0.5871993127147767,0.6149538430752841,0.6019351650750968,0.5248606154510471
dna_gc_content,1,0.8437173226084458,0.6216014996218575,0.5876557130584192,0.6398479778941142,0.6303737028993002,0.5601290338967982
esmfold_middle_glycine_linker_B_C_lis_score,1,0.8420068466915636,0.6174831307254744,0.6065292096219932,0.6174169190068831,0.5972523873547763,0.5516199088126594
esmfold_middle_glycine_linker_B_C_lis_score_max,1,0.8418498036962558,0.6159779176561642,0.606958762886598,0.6174463464373681,0.5966462118339252,0.5543250485782141
boltz_rosetta_A_C_side1_score,1,0.8413104110748362,0.6499921561244979,0.5445793085917641,0.6567313396761223,0.6336224611191625,0.4297084002140182
esmfold_middle_glycine_linker_B_C_ipSAE_d0chn_max,1,0.8402135401704491,0.595155067844941,0.5674398625429553,0.5976387429778793,0.580606979924386,0.5490925716608034
esmfold_middle_glycine_linker_B_C_ipSAE_d0chn,1,0.8402121038015896,0.5962821384325184,0.5674398625429553,0.5976299147487338,0.5805983613150849,0.5490925716608034
esmfold_middle_glycine_linker_B_C_ipSAE_max,1,0.8402070765105811,0.5951653674456108,0.5674398625429553,0.5975990159467245,0.5806055434895026,0.5489274692337976
esmfold_middle_glycine_linker_B_C_ipSAE,1,0.8402056401417217,0.5962924380331882,0.5674398625429553,0.597590187717579,0.5805969248802013,0.5489274692337976
max_pident_within_team_mmseqs,1,0.8368498036962558,0.6878661875880984,0.6227448453608248,0.6852751023338896,0.6678043230944255,0.5282960159514345
esmfold_start_A_B_pdockq2,1,0.8364543234702672,0.6487321191575515,0.5684600515463917,0.6487586038449882,0.6279964031670515,0.5599766316564853
closest_ab_pident,1,0.8360578856650388,0.6174522319234651,0.452453823024055,0.6117447817808892,0.6068075522000436,0.5509340987312513
esmfold_plddt_hotspot_start_glycine_linker,1,0.8356444508283061,0.648018503968289,0.6594716494845361,0.6383560071685221,0.6224603831259121,0.5014922719363974
esmfold_plddt_hotspot_start,1,0.835325576941492,0.6340890297481896,0.680358676975945,0.6416062668655961,0.6255717010836465,0.5968262233454832
boltz_A_B_pdockq,1,0.8338329503016374,0.6147169522598795,0.6570285652920962,0.6205421121243957,0.6013031337263419,0.5352557182590584
boltz_A_B_pdockq_max,1,0.8338329503016374,0.6147169522598795,0.6570285652920962,0.6205421121243957,0.6013031337263419,0.5352557182590584
boltz_rosetta_A_BC_nres_int,1,0.833676436218898,0.6066421937751005,0.5266586171835282,0.6290535726056808,0.6120645701554616,0.532784911717496
boltz_rosetta_nres_int,1,0.833676436218898,0.6066421937751005,0.5266586171835282,0.6290535726056808,0.6120645701554616,0.532784911717496
