autoregwithoutseq_proteinmpnn,autoregwithoutseq_solublempnn,autoregwithseq_proteinmpnn,autoregwithseq_solublempnn,singleaascorewithoutseq_proteinmpnn,singleaascorewithoutseq_solublempnn,singleaascorewithseq_proteinmpnn,singleaascorewithseq_solublempnn,global_id
0.1369993984699249,0.1404434144496917,0.3555533289909363,0.3386881649494171,0.3827181458473205,0.3633680939674377,0.321316123008728,0.3140551745891571,180
0.09758853,0.13472185,0.3315583,0.29863527,0.36476517,0.32578397,0.30087203,0.27659446,181
0.0988191,0.120500565,0.33086357,0.2983238,0.3377872,0.30921626,0.3169282,0.28657314,182
0.09968772,0.13553032,0.34914201,0.32264346,0.37599736,0.33951825,0.32170027,0.30641612,183
0.09572607,0.13121511,0.32582697,0.3156267,0.344068,0.3349208,0.30680743,0.2923976,184
0.08740206,0.11024843,0.27430123,0.24491541,0.2858792,0.25590757,0.26043084,0.23202202,185
0.09452255,0.13902842,0.32314855,0.3009767,0.34323734,0.32850596,0.29712278,0.27707183,186
0.107993804,0.13680176,0.36277848,0.34721404,0.38147777,0.35769165,0.34738833,0.3378964,187
0.11565466,0.13761199,0.36721689,0.33148393,0.39909062,0.3559522,0.33485666,0.3057035,188
0.11553554,0.13313738,0.36419687,0.3287429,0.3934351,0.35320488,0.33368188,0.3060384,189
0.10509838,0.1391187,0.3444786,0.32522514,0.3695932,0.34926,0.32237405,0.3010916,190
0.1016015,0.14294009,0.34386966,0.32021135,0.3702873,0.3513109,0.31749815,0.29022738,191
0.10156759,0.13740465,0.3617457,0.34195995,0.39215106,0.37245286,0.3293031,0.30978733,192
0.11459651,0.17196175,0.39382577,0.37824672,0.4258336,0.3998072,0.3579588,0.35464174,193
0.10591672,0.14369865,0.3278763,0.3049618,0.35117012,0.32368702,0.30467063,0.2855948,194
0.09321416,0.12730189,0.33895355,0.29790023,0.35485226,0.31089967,0.31946692,0.28398675,195
0.11117262,0.1472067,0.3324609,0.32443818,0.36008048,0.3437286,0.30555528,0.3008506,196
0.095306836,0.112975635,0.29986423,0.27585247,0.3193033,0.28992194,0.27865884,0.261388,197
0.10680671,0.13106467,0.33135304,0.3127969,0.3339792,0.32211417,0.32523865,0.30048364,198
0.093899325,0.13088904,0.32805696,0.3005455,0.3518167,0.31842107,0.3019716,0.2814582,199
0.115076385,0.13805433,0.3698057,0.3507684,0.3933363,0.36649552,0.34653118,0.33524674,200
0.10666658,0.13696584,0.35317332,0.33332607,0.38734308,0.35919935,0.3197713,0.3054285,201
0.11844289,0.16276261,0.38848305,0.36902475,0.4311399,0.40112257,0.34597322,0.3377115,202
0.089723974,0.13493475,0.33788443,0.31523776,0.36597484,0.34008056,0.30849105,0.28649464,203
0.11014529,0.14716962,0.36516768,0.3344339,0.38858825,0.34974426,0.34249195,0.3171654,204
0.11487673,0.14565766,0.3493588,0.33016068,0.37478346,0.3469674,0.3300155,0.31814095,205
0.11100222,0.12782249,0.32235432,0.30204397,0.35462448,0.32591325,0.29270512,0.2774817,206
0.09969894,0.1445977,0.34274572,0.31391242,0.38685602,0.35019508,0.30227232,0.27957964,207
