SequenceID,logFC,logCPM,LR,PValue,FDR,2-fold threshold?,Significant
273,0.61302338,6.623918417,5.886639777,0.015256184,0.052755631,Not Sig,False
274,0.539828721,8.323894714,5.189330308,0.022725972,0.070356553,Not Sig,False
275,-0.17986181,9.251804225,0.66781922,0.413812961,0.568836295,Not Sig,False
276,-0.137961964,6.848352457,0.387572373,0.533578234,0.672673836,Not Sig,False
277,-0.61266452,6.496449151,6.503271231,0.01076762,0.040438747,Not Sig,False
278,0.258640831,6.459831571,0.517399953,0.4719529,0.620348585,Not Sig,False
279,1.238770634,5.604434004,21.59312442,3.37058E-06,6.34451E-05,Up,False
280,-0.441877922,5.148206263,2.563876566,0.1093302,0.224796616,Not Sig,False
281,-0.035684719,7.842429593,0.023954138,0.877001661,0.926640054,Not Sig,False
282,-0.048449026,7.258596354,0.036371477,0.848750394,0.907909762,Not Sig,False
283,-0.231894638,6.151121187,1.034720505,0.30905253,0.463851087,Not Sig,False
284,-0.118051597,8.538778118,0.264880704,0.6067867,0.734004007,Not Sig,False
285,0.31786105,5.16147414,1.224126264,0.268552388,0.423591661,Not Sig,False
286,-0.346343085,7.933758261,2.160259301,0.14162079,0.270992435,Not Sig,False
287,-0.947260582,7.74227217,16.10833279,5.98202E-05,0.000734442,Not Sig,False
288,-0.019056436,6.956755008,0.006677118,0.934874435,0.960819669,Not Sig,False
291,-0.278055331,8.351461335,1.02383475,0.311611119,0.465796047,Not Sig,False
292,0.549000515,5.483711075,4.309088859,0.037909261,0.103782122,Not Sig,False
293,0.89290785,7.944658928,7.176562687,0.007386208,0.030820345,Not Sig,False
294,0.073319331,6.040356056,0.087108383,0.767885947,0.8552427,Not Sig,False
295,-0.289246518,7.453059721,1.650243624,0.198925776,0.343855971,Not Sig,False
296,-0.491523631,7.982891132,4.649758674,0.031057913,0.089300804,Not Sig,False
297,-0.343252845,7.103198454,2.237826203,0.134670187,0.261959079,Not Sig,False
298,-0.304827726,6.494297154,1.773183567,0.182988578,0.323613851,Not Sig,False
299,0.553227642,4.600997291,3.462127791,0.062789466,0.150809807,Not Sig,False
300,0.269705676,3.715854847,0.748562031,0.386931883,0.540831559,Not Sig,False
301,0.155468216,6.983969293,0.394567283,0.529908361,0.669653398,Not Sig,False
302,0.19375737,5.913168716,0.522265248,0.469876988,0.618335611,Not Sig,False
303,-0.067481408,7.310694927,0.076070445,0.782694992,0.864389575,Not Sig,False
304,-0.287914381,5.106798578,1.008861002,0.315175862,0.469627887,Not Sig,False
305,-0.016578697,8.022190799,0.005268713,0.942135649,0.965145181,Not Sig,False
306,0.385169331,3.611411673,1.151334395,0.283269988,0.439099621,Not Sig,False
307,-0.19807597,5.152127054,0.541150688,0.461956235,0.611930363,Not Sig,False
308,-0.837599257,7.652455662,11.13489445,0.000847188,0.005957416,Not Sig,False
309,-0.16043051,6.018803458,0.426400731,0.51376036,0.655696403,Not Sig,False
310,0.361186394,7.084906905,2.659286859,0.102946881,0.214585515,Not Sig,False
311,0.185774227,9.640594419,0.570308334,0.450136419,0.60132579,Not Sig,False
312,0.185039137,7.17848187,0.527694236,0.467577867,0.616674552,Not Sig,False
313,-0.373144256,6.299182075,2.095321111,0.147750666,0.278863942,Not Sig,False
314,-0.69127798,6.574144238,9.11845505,0.002530436,0.013673584,Not Sig,False
315,-0.188649389,7.728386562,0.57543746,0.448106269,0.599763527,Not Sig,False
316,-0.099637562,5.77023765,0.149277878,0.699226401,0.806726837,Not Sig,False
317,-0.250341003,7.292767074,1.282176714,0.257494704,0.411002322,Not Sig,False
318,-0.146054719,6.462889475,0.31300511,0.575841958,0.70831605,Not Sig,False
319,0.764041069,3.640042854,5.519740817,0.018803044,0.060980324,Not Sig,False
320,0.69638992,4.612457295,5.62232618,0.017733097,0.058828298,Not Sig,False
321,0.703518553,6.334128629,9.421986536,0.002143991,0.012113729,Not Sig,False
