feature_combo,n_features,n_dna_detected,n_leah_detected,n_3class,auc_dna_detected,auc_leah_detected,auc_3class_avg,auc_3class_down,auc_3class_notsig,auc_3class_up
chai1_A_C_lis_score,1,12000,11796,6811,0.47983987593002614,0.505896297024976,0.5017699671846663,0.5129751511690102,0.4877526922915179,0.5045820580934708
chai1_A_B_lis_score_max,1,12000,11796,6811,0.4783847881302402,0.5237821672328687,0.4992033369013693,0.5025166127263003,0.48438937751959243,0.5107040204582152
chai1_A_C_lis_score_max,1,12000,11796,6811,0.4753482819034701,0.5201097198510817,0.5033759255919134,0.5128482326597588,0.48733765519763794,0.5099418889183432
chai1_A_B_pdockq,1,12000,11796,6811,0.4908293938124589,0.5832141852072146,0.5592118098358513,0.612027795153526,0.5157240511632806,0.5498835831907475
chai1_A_C_pdockq,1,12000,11796,6811,0.5403715699572471,0.5866468735232271,0.5533453622690421,0.5728702620867215,0.5299655238533961,0.5572003008670087
chai1_A_B_pdockq_max,1,12000,11796,6811,0.4908293938124589,0.5832141852072146,0.5592118098358513,0.612027795153526,0.5157240511632806,0.5498835831907475
boltz_A_B_ipSAE_d0chn,1,12000,11796,6811,0.5512197970066289,0.5264304586052976,0.5032305584965453,0.4764511771691733,0.5176205092947861,0.5156199890256765
boltz_A_B_ipSAE_d0chn_max,1,12000,11796,6811,0.5500952882000545,0.5268905821855524,0.5086588823621171,0.49310107246140317,0.5181178207649337,0.5147577538600143
boltz_A_C_ipSAE_d0chn,1,12000,11796,6811,0.5467273718575256,0.5288279019999361,0.49526672233752217,0.46076404942569377,0.5134761184396072,0.5115599991472655
boltz_A_C_ipSAE_d0chn_max,1,12000,11796,6811,0.544765091523215,0.5306660106586092,0.5018982567722361,0.4817278141913025,0.5140858940630115,0.5098810620623941
boltz_A_B_ipSAE_d0dom,1,12000,11796,6811,0.5555102593767245,0.5241553319479801,0.5059056459283483,0.4886462327866772,0.5150695213656813,0.5140011836326864
boltz_A_B_ipSAE_d0dom_max,1,12000,11796,6811,0.5524396771255128,0.5249715966280872,0.5052351432780297,0.48742509541552215,0.5148862607385905,0.5133940736799761
boltz_A_C_ipSAE_d0dom,1,12000,11796,6811,0.5514232142500948,0.5277661497191619,0.5059680485946455,0.4920340504229106,0.512585857603792,0.513284237757234
boltz_A_C_ipSAE_d0dom_max,1,12000,11796,6811,0.5478477250513634,0.5291729983667048,0.5056131535133281,0.4909933186470487,0.5126519278825065,0.5131942140104293
boltz_rosetta_A_BC_iptm,1,12000,11796,6811,0.5554279782445362,0.525452793559065,0.48901896041917503,0.4569936631401452,0.5047859959559202,0.5052772221614596
boltz_rosetta_A_B_iptm,1,12000,11796,6811,0.5574679685370248,0.5246834321787857,0.4916027040838277,0.46421441975577254,0.5054858586454841,0.5051078338502264
boltz_rosetta_A_B_side2_normalized,1,12000,11796,6811,0.49630171244489657,0.5412477485311609,0.49312379252805677,0.5100501328111543,0.4924304680244929,0.47689077674852304
boltz_rosetta_A_B_side2_score,1,12000,11796,6811,0.5324626077965944,0.6323230298736467,0.5525218702274226,0.5719632480259639,0.5301367278602837,0.5554656347960203
boltz_rosetta_A_C_complex_normalized,1,12000,11796,6811,0.455726517463547,0.5977414404423076,0.5178894684185413,0.48313615636360335,0.5303843226127796,0.540147926279241
